Partlist

Exported from control-2014-a.brd at 12/27/2014 11:42:20 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library                Position (inch)       Orientation
R110     220                RA_4_1206       resistor-array         (1.34 0.97)           MR180
R111     10.0k              R0603           rcl                    (1.455 0.855)         MR0
R112     10.0k              R0603           rcl                    (1.235 0.775)         MR90
R113     22                 R0603           rcl                    (1.46 0.395)          MR270
R114     22                 R0603           rcl                    (1.38 0.395)          MR270
R115     10.0k              R0603           rcl                    (1.12 0.845)          MR0
R116     10.0k              R0603           rcl                    (0.91 0.725)          MR90
R117     22                 R0603           rcl                    (1.14 0.395)          MR270
R118     22                 R0603           rcl                    (1.06 0.395)          MR270
R119     220                RA_2_0606       resistor-array         (0.53 0.93)           MR270
R120     10.0k              R0603           rcl                    (0.52 0.855)          MR0
R121     10.0k              R0603           rcl                    (0.345 0.87)          MR180
R122     22                 R0603           rcl                    (0.545 0.395)         MR270
R123     22                 R0603           rcl                    (0.465 0.395)         MR270
R124     220                RA_2_0606       resistor-array         (0.225 1.225)         MR270
R125     220                RA_2_0606       resistor-array         (0.395 1.625)         MR270
R126     220                RA_4_1206       resistor-array         (0.395 1.815)         MR90
R127     0                  R0603           rcl                    (0.565 1.9)           MR0
R128     220                RA_2_0606       resistor-array         (0.175 2.355)         MR0
R129     10K                R0603           rcl                    (3.81 3.69)           MR0
R130     10K                R0603           rcl                    (4.005 3.7)           MR180
S1       SWS004             SMS-004         smd-special            (2.795 0.94)          R0
S2                          B3F-31XX        switch-omron           (0.34 3.77)           R180
S3       G3T12AP_SPDT       G3T12AP_SP      switch-robocup         (1.99 0.01)           R270
S4       KMR2               KMR2            switch-robocup         (4.07 1.035)          R180
S5       94HBB16RAT         HEX-RA-2C       switch-robocup         (3.38 3.865)          R270
U$24     RL1014             RL1014          RLB1014-inductor       (4.33 3.775)          R0
U$26     RL1014             RL1014          RLB1014-inductor       (3.95 3.775)          R0
U1       XC3S100E           TQFP144         xilinx                 (1.817 1.636)         R0
U2       AT91SAM7S256       SQFP-S-10X10-64 at91sam7               (3.455 1.765)         R90
U3       M25P10             SO08            st_micro               (2.504 2.062)         MR0
U4       KXTF9-2050         KXTF9           inertial-sensors       (1.815 3.315)         R270
U5       CC1101             QLP20           radio                  (4.2 2.06)            R0
U6       0896BM15A0001      0896BM15A0001   radio                  (4.415 2.05)          R0
U7       FDV304P            SOT-23          zetex                  (3.92 1.355)          R90
U8       SI7141DP           POWERPAK_SO-8   rjrc_power_transistors (2.38 0.59)           R90
U9       LM2734             SOT23-6L        power                  (0.33 1.59)           R180
U10      MCP1824ST-3302E/DB SOT223          power                  (0.46 2.02)           R90
U11      MCP1824T-1202E/OT  SOT23-5         power                  (0.415 2.34)          R270
U12      MCP1824T-2502E/OT  SOT23-5         power                  (0.415 2.525)         R270
U13      IMU3000            IMU3000         inertial-sensors       (1.805 3.015)         R180
X1       18.432MHz          XTAL_LCC        oscillator             (1.925 1.12)          MR0
X2       644-1055-1-ND      XTAL-3.2X2.5    radio                  (4.22 1.85)           R180
