Partlist

Exported from control-2011-c.brd at 10/16/2014 2:49:54 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation
U13      0896BM15A0001      0896BM15A0001   radio            (4.415 2.05)          R0
U15      TC4428             SO08            microchip        (1.25 2.77)           MR0
U18      TC4428             SO08            microchip        (0.875 2.77)          MR0
U19      IMU3000            IMU3000         inertial-sensors (1.805 3.015)         R180
U20      KXTF9-2050         KXTF9           inertial-sensors (1.815 3.315)         R270
U21      TC4428             SO08            microchip        (0.5 2.77)            MR0
U24      TC4428             SO08            microchip        (4.2 2.77)            MR0
U27      TC4428             SO08            microchip        (3.825 2.77)          MR0
U30      TC4428             SO08            microchip        (3.45 2.77)           MR0
U33      TC4428             SO08            microchip        (4.21 0.695)          MR180
U36      TC4428             SO08            microchip        (3.825 0.695)         MR180
U39      TC4428             SO08            microchip        (3.45 0.695)          MR180
U42      TC4428             SO08            microchip        (3.065 2.77)          MR0
U45      TC4428             SO08            microchip        (2.69 2.77)           MR0
U48      TC4428             SO08            microchip        (2.315 2.77)          MR0
X1       18.432MHz          XTAL_LCC        oscillator       (1.925 1.12)          MR0
X2       644-1055-1-ND      XTAL-3.2X2.5    radio            (4.22 1.85)           R180
