Partlist

Exported from mainpcb.sch at 1/21/2014 6:55:47 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Device                Package         Library          Sheet
R69      10.0k              R-US_R0603            R0603           rcl              2
R70      10                 R-US_R0603            R0603           rcl              2
R71      10                 R-US_R0603            R0603           rcl              2
R72      10.0k              R-US_R0603            R0603           rcl              2
R73      10.0k              R-US_R0603            R0603           rcl              2
R74      10                 R-US_R0603            R0603           rcl              2
R75      10                 R-US_R0603            R0603           rcl              2
R76      10.0k              R-US_R0603            R0603           rcl              2
R77      10.0k              R-US_R0603            R0603           rcl              2
R78      5.6k               R-US_R0603            R0603           rcl              4
R79      220                R-US_R0603            R0603           rcl              4
R80      NP                 R-US_R0603            R0603           rcl              4
R81      68k                R-US_R0603            R0603           rcl              4
R82      10.0k              R-US_R0603            R0603           rcl              4
R83      52.3k              R-US_R0603            R0603           rcl              5
R84      10.0k              R-US_R0603            R0603           rcl              5
R85      220                RA-41206              RA_4_1206       resistor-array   2
R86      220                RA-41206              RA_4_1206       resistor-array   2
R87      220                RA-41206              RA_4_1206       resistor-array   2
R88      220                RA-41206              RA_4_1206       resistor-array   2
R89      220                RA-20606              RA_2_0606       resistor-array   6
R90      220                RA-20606              RA_2_0606       resistor-array   6
R91      220                RA-20606              RA_2_0606       resistor-array   6
R92      220                RA-20606              RA_2_0606       resistor-array   6
R93      27                 RA-20606              RA_2_0606       resistor-array   4
R94      1.5k               R-US_R0603            R0603           rcl              4
R95      56k                R-US_R0603            R0603           rcl              3
R96      10.0k              R-US_R0603            R0603           rcl              4
R97      10.0k              R-US_R0603            R0603           rcl              4
R102     0                  R-US_R0603            R0603           rcl              1
R103     220                RA-20606              RA_2_0606       resistor-array   1
R104     220                RA-41206              RA_4_1206       resistor-array   1
R105     NP                 R-US_R0603            R0603           rcl              4
R107     220                R-US_R0603            R0603           rcl              4
R108     330k               R-US_R0603            R0603           rcl              4
R109     330k               R-US_R0603            R0603           rcl              4
R110     1.5k               R-US_R0603            R0603           rcl              4
R111     10.0k              R-US_R0603            R0603           rcl              4
R112     10.0k              R-US_R0603            R0603           rcl              1
R113     0                  R-US_R0603            R0603           rcl              5
R114     0                  R-US_R0603            R0603           rcl              5
R115     NP                 R-US_R0603            R0603           rcl              1
R116     10.0k              R-US_R0603            R0603           rcl              4
R117     220                RA-41206              RA_4_1206       resistor-array   2
R118     220                RA-41206              RA_4_1206       resistor-array   2
R119     220                RA-20606              RA_2_0606       resistor-array   2
R120     220                RA-41206              RA_4_1206       resistor-array   2
R122     220                RA-20606              RA_2_0606       resistor-array   2
R123     220                RA-20606              RA_2_0606       resistor-array   2
R124     220                RA-20606              RA_2_0606       resistor-array   2
R125     220                RA-20606              RA_2_0606       resistor-array   2
R128     220                RA-20606              RA_2_0606       resistor-array   2
R129     220                RA-20606              RA_2_0606       resistor-array   2
R130     220                RA-20606              RA_2_0606       resistor-array   2
R131     220                RA-20606              RA_2_0606       resistor-array   2
S1       SWS004             SWS004                SMS-004         smd-special      4
S2                          31-XX                 B3F-31XX        switch-omron     1
S3       M2022S2A2W30       DPDTM2022-30          M202X-30        switch-robocup   5
S4       KMR2               KMR2                  KMR2            switch-robocup   4
S5       94HBB16RAT         HEX-RA-2C             HEX-RA-2C       switch-robocup   4
U1       XC3S100E           XC3S_TQ144            TQFP144         xilinx           1
U2       M25P10             M25P10                SO08            st_micro         1
U3       LM2734             LM2734                SOT23-6L        power            5
U4       MCP1824T-1202E/OT  MCP1824-FIXED         SOT23-5         power            5
U5       MCP1824T-2502E/OT  MCP1824-FIXED         SOT23-5         power            5
U6       TC4428             TC4428                SO08            microchip        2
U7       AT91SAM7S256       AT91SAM7XXX_64QFP64   SQFP-S-10X10-64 at91sam7         4
U8       MCP1824ST-3302E/DB VREG-FIXED            SOT223          power            5
U9       TC4428             TC4428                SO08            microchip        2
U10      CC1101             CC1101                QLP20           radio            3
U12      TC4428             TC4428                SO08            microchip        2
U13      0896BM15A0001      0896BM15A0001         0896BM15A0001   radio            3
U15      TC4428             TC4428                SO08            microchip        2
U18      TC4428             TC4428                SO08            microchip        2
U19      IMU3000            IMU3000               IMU3000         inertial-sensors 7
U20      KXTF9-2050         KXTF9                 KXTF9           inertial-sensors 7
U21      TC4428             TC4428                SO08            microchip        2
U24      TC4428             TC4428                SO08            microchip        2
U27      TC4428             TC4428                SO08            microchip        2
U30      TC4428             TC4428                SO08            microchip        2
U33      TC4428             TC4428                SO08            microchip        2
U36      TC4428             TC4428                SO08            microchip        2
U39      TC4428             TC4428                SO08            microchip        2
U42      TC4428             TC4428                SO08            microchip        2
U45      TC4428             TC4428                SO08            microchip        2
U48      TC4428             TC4428                SO08            microchip        2
X1       18.432MHz          OSC                   XTAL_LCC        oscillator       1
X2       644-1055-1-ND      XTAL-3.2X2.5          XTAL-3.2X2.5    radio            3
