Partlist

Exported from control-2008-a.brd at 12/27/2014 11:47:06 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package      Library      Position (inch)       Orientation

U$39     TC4428             SO08         microchip    (3.615 0.735)         R180
U$40     NTMS10P02R2        SO8          onsemi       (3.6 0.175)           MR0
U$41     NTMS4503N          SO8          onsemi       (3.6 0.525)           MR180
U$42     TC4428             SO08         microchip    (2.775 2.9)           MR0
U$43     NTMS10P02R2        SO8          onsemi       (2.775 3.6)           MR180
U$44     NTMS4503N          SO8          onsemi       (2.775 3.25)          MR0
U$45     TC4428             SO08         microchip    (2.4 2.9)             MR0
U$46     NTMS10P02R2        SO8          onsemi       (2.4 3.6)             MR180
U$47     NTMS4503N          SO8          onsemi       (2.4 3.25)            MR0
U$48     TC4428             SO08         microchip    (2.025 2.9)           MR0
U$49     NTMS10P02R2        SO8          onsemi       (2.025 3.6)           MR180
U$50     NTMS4503N          SO8          onsemi       (2.025 3.25)          MR0
U$51     FH_11_H            FH_11_HOR    hirose       (0.3 0.6)             R90
U$52     BAS16XV2           SOD-523      onsemi       (0.401 0.752)         R180
U$53     BAS16XV2           SOD-523      onsemi       (0.401 0.827)         R180
U$54     BAS16XV2           SOD-523      onsemi       (0.401 0.902)         R180
U$55     FH_11_H            FH_11_HOR    hirose       (0.35 3.15)           R90
U$56     BAS16XV2           SOD-523      onsemi       (0.529 2.849)         R180
U$57     BAS16XV2           SOD-523      onsemi       (0.529 2.767)         R180
U$58     BAS16XV2           SOD-523      onsemi       (0.529 2.685)         R180
U$59     FH_11_H            FH_11_HOR    hirose       (4.65 3.25)           R270
U$60     BAS16XV2           SOD-523      onsemi       (4.57 3.117)          R0
U$61     BAS16XV2           SOD-523      onsemi       (4.57 3.042)          R0
U$62     BAS16XV2           SOD-523      onsemi       (4.594 2.968)         R0
U$63     FH_11_H            FH_11_HOR    hirose       (4.65 0.6)            R270
U$64     BAS16XV2           SOD-523      onsemi       (4.597 0.252)         MR180
U$65     BAS16XV2           SOD-523      onsemi       (4.581 0.168)         MR180
U$66     BAS16XV2           SOD-523      onsemi       (4.564 0.085)         MR180
U$67     HP3_RX_SIP         RX_DIP       linx         (4.895 1.856)         R270
U$68     HP3_TX_SIP         TX_DIP       linx         (3.99 1.972)          R270
U$69     LPC2102            TQFP48       nxp          (2.5 1.182)           R0
U$70     JST_PA_8           JST_PA_8     jst_pa       (2.375 3.925)         R0
U$71     BAS16XV2           SOD-523      onsemi       (2.946 3.977)         MR0
U$72     BAS16XV2           SOD-523      onsemi       (2.946 3.892)         MR0
U$73     BAS16XV2           SOD-523      onsemi       (2.945 3.808)         MR0
U$74     UPG2214            SMINI-6      NEC          (4.355 2.418)         R270
U$75     RP_SMA_TH          RPSMA_TH     linx         (4.355 1.986)         R180
U$76     OSC                XTAL_LCC     abracon      (3.004 1.254)         MR90
U$77     PAN_EV_SWITCH      PAN5         pan_switches (1.846 0.674)         R270
U$78     3522               3522         fuseholders  (2.532 0.68)          R180
U$79     JST_PA_6           JST_PA_6     jst_pa       (4.339 3.923)         R0
U$80     LP2985-18          SOT23-5      ti           (0.7 1.225)           MR0
U$81     LP2985-25          SOT23-5      ti           (1.017 1.43)          R180
U$82     JST_PA_6           JST_PA_6     jst_pa       (0.114 0.6)           R270
U$83     LM2734             SOT23-6L     ns           (0.959 2.143)         R180
U$84     MSS7341            MSS7341      coilcraft    (1.256 1.976)         R180
U$85     PAN_EV_SWITCH      PAN5         pan_switches (0.165 1.854)         R180
U$86     JST_PA_6           JST_PA_6     jst_pa       (0.146 2.351)         R90
U$87     JST_PA_6           JST_PA_6     jst_pa       (3.65 3.925)          R0
U$88     PS12               PS12         tdk          (1.477 1.268)         R90
U$89     JST_PA_6           JST_PA_6     jst_pa       (0.161 3.153)         R270
U$90     JST_PA_6           JST_PA_6     jst_pa       (4.85 3.25)           R90
U$91     2M1-DP1-T1-B1-M2QE 2M-DP-M2     carling      (2.525 0.25)          R180
U$92     JST_PA_6           JST_PA_6     jst_pa       (4.826 0.596)         R90
U$93     JST_VH_2           JST_VH_2     jst_vh       (3 0.225)             R0
U$94     JST_VH_2           JST_VH_2     jst_vh       (2.05 0.225)          R0
